,geometry,Node,pointgeo,x,y,osmid,IsCentroid
179,POINT (105.6864437798075 20.0037460206035),405,POINT (105.6864437798075 20.0037460206035),105.68644378,20.0037460206,179,0
180,POINT (105.6812803974808 19.99340750234441),406,POINT (105.6812803974808 19.99340750234441),105.681280397,19.9934075023,180,0
181,POINT (105.6946714176493 19.9551536199373),407,POINT (105.6946714176493 19.9551536199373),105.694671418,19.9551536199,181,0
182,POINT (105.6787923412946 19.95290605051042),408,POINT (105.6787923412946 19.95290605051042),105.678792341,19.9529060505,182,0
183,POINT (105.6908518426543 19.99437359972303),411,POINT (105.6908518426543 19.99437359972303),105.690851843,19.9943735997,183,1
184,POINT (105.6859093525392 19.96127427558809),417,POINT (105.6859093525392 19.96127427558809),105.685909353,19.9612742756,184,0
185,POINT (105.7070408434035 19.94584730854398),419,POINT (105.7070408434035 19.94584730854398),105.707040843,19.9458473085,185,0
186,POINT (105.7137397204375 19.93575038029758),423,POINT (105.7137397204375 19.93575038029758),105.71373972,19.9357503803,186,0
187,POINT (105.7383014028174 19.93787489586208),425,POINT (105.7383014028174 19.93787489586208),105.738301403,19.9378748959,187,0
188,POINT (105.7346550589635 19.95156686923136),430,POINT (105.7346550589635 19.95156686923136),105.734655059,19.9515668692,188,0
189,POINT (105.7373509576104 19.93942129887043),432,POINT (105.7373509576104 19.93942129887043),105.737350958,19.9394212989,189,0
